id,mz,rt,ms1_isotopes,hyuA_UA_1,hyuA_UA_2,hyuA_UA_3,WT_UA_1,WT_UA_2,WT_UA_3
111.0551@4.163,111.0551,4.163,111.05511:33149 112.05846:1779 113.06182:3400,127501,142124,208676,154487,192119,211006
111.0552@4.058,111.0552,4.058,111.05515:37187 112.0585:1622 113.06186:14176,271125,270284,257289,231403,141368,277265
111.0552@4.309,111.0552,4.309,111.05519:20519 112.05854:1477 113.0619:655,85496,91558,85736,66938,77856,91310
111.0552@3.735,111.0552,3.735,111.0552:37981 112.05855:2902 113.06191:523,276711,420079,383925,349942,273581,414798
112.0368@5.669,112.0368,5.669,112.03683:31822 113.04018:1170 114.04354:265,42370,42454,39640,41945,43662,85711
113.0707@4.084,113.0707,4.084,113.07069:91205 114.07404:7072 115.0774:530,264755,247915,238492,261246,257207,247277
114.127@4.021,114.127,4.021,114.12704:3139 115.13039:659 116.13375:1458,6668,5966,5963,8686,7632,7166
115.0493@2.268,115.0493,2.268,115.04934:7152 116.05269:581 117.05605:551,26571,21365,20248,31523,27182,25947
115.05@1.26,115.05,1.26,115.04995:17229 116.0533:647 117.05666:207,59134,56682,57203,51963,52747,53489
115.0864@4.331,115.0864,4.331,115.08641:95407 116.08976:6947 117.09312:2945,216073,216098,220030,179162,179296,172456
116.0106@6.792,116.0106,6.792,116.01062:14351 117.01397:0 118.01733:0,6572,31369,1504,1740,19119,128405
116.0701@2.824,116.0701,2.824,116.07008:8483 117.07343:497 118.07679:6137,58288,57325,55442,62256,58422,56352
117.102@4.35,117.102,4.35,117.10203:10148 118.10538:0 119.10874:810,24502,24517,21724,23878,23609,24689
118.0861@0.781,118.0861,0.781,118.08607:26222 119.08942:3098 120.09278:365,63128,91432,92505,64193,74874,85642
118.0863@4.901,118.0863,4.901,118.08626:425734 119.08961:26069 120.09297:2795,1150313,1165762,1135185,1005442,1203697,1020213
118.0873@4.563,118.0873,4.563,118.08729:5570500 119.09064:617042 120.094:50287,25526202,24712484,24924630,25970702,25406482,24948494
119.0518@1.478,119.0518,1.478,119.05177:4026 120.05512:459 121.05848:486,11513,11407,11840,13333,11448,12683
119.0818@1.898,119.0818,1.898,119.08182:3513 120.08517:649 121.08853:642,12638,11039,12679,14691,13357,13727
123.0473@1.514,123.0473,1.514,123.04726:8913 124.05061:1774 125.05397:473,36577,34149,34970,30815,28684,26396
123.0554@5.213,123.0554,5.213,123.05543:3244 124.05878:201 125.06214:263,9485,9207,5479,7095,8953,9284
126.0521@5.338,126.0521,5.338,126.05212:49976 127.05547:2278 128.05883:538,173195,109164,65248,96922,144810,201767
126.0523@4.966,126.0523,4.966,126.05228:46945 127.05563:3463 128.05899:455,162526,162812,157143,135928,130837,141053
126.0659@1.22,126.0659,1.22,126.06589:4000 127.06924:0 128.0726:4904,12595,12946,13243,14850,16193,18424
127.1479@0.661,127.1479,0.661,127.1479:5661 128.15125:437 129.15461:0,8.54179840087891,192,8.54179840087891,8.54179840087891,19063,8.54179840087891
129.0652@4.309,129.0652,4.309,129.0652:4719 130.06855:13563 131.07191:728,15558,19644,16259,13751,16394,18084
129.0656@4.053,129.0656,4.053,129.06563:7940 130.06898:0 131.07234:1328,51762,49707,49129,41066,53014,52453
129.0656@3.917,129.0656,3.917,129.06564:6965 130.06899:0 131.07235:2081,15425,17308,17264,15682,17379,20146
129.0658@3.74,129.0658,3.74,129.0658:10078 130.06915:25453 131.07251:1517,50771,62439,48759,58453,55070,58646
130.0603@3.35,130.0603,3.35,130.06032:25017 131.06367:1467 132.06703:376,88576,83783,77340,9810,14349,10671
130.061@3.511,130.061,3.511,130.06096:156455 131.06431:7711 132.06767:1141,1185357,851107,1055894,7772,20685,10689
130.0635@0.806,130.0635,0.806,130.06354:5098 131.06689:1021 132.07025:0,16189,10452,14576,13712,9468,5207
130.086@5.182,130.086,5.182,130.086:199523 131.08935:16521 132.09271:5960,388673,327616,476940,565451,457745,336080
130.0861@0.948,130.0861,0.948,130.08614:6092 131.08949:404 132.09285:8979,19329,17342,16969,10720,15443,15931
131.1176@4.124,131.1176,4.124,131.1176:53981 132.12095:5651 133.12431:1366,142896,138043,135079,137942,138661,133260
132.08@3.415,132.08,3.415,132.08:5454 133.08335:565 134.08671:0,16835,13820,14256,17725,17621,16469
132.1017@0.78,132.1017,0.78,132.10167:27638 133.10502:2082 134.10838:681,43130,52517,76698,86867,67848,91604
132.1132@4.174,132.1132,4.174,132.1132:126509 133.11655:8408 134.11991:1122,305943,288652,281338,340835,332735,311889
133.0315@1.572,133.0315,1.572,133.03148:38970 134.03483:1750 135.03819:2167,146286,138847,135170,151626,160069,166438
133.0601@2.268,133.0601,2.268,133.06012:27510 134.06347:1502 135.06683:0,95356,80566,78043,126866,105728,98670
134.0438@3.56,134.0438,3.56,134.04379:7376 135.04714:1194 136.0505:475,23427,22302,23513,25849,23782,24383
134.0805@5.647,134.0805,5.647,134.08052:12628 135.08387:1025 136.08723:0,34088,35895,35444,37893,34677,24436
134.0808@5.292,134.0808,5.292,134.08084:22339 135.08419:1282 136.08755:0,29855,38517,61508,55651,27568,25219
136.1115@3.145,136.1115,3.145,136.11153:7708 137.11488:859 138.11824:223,24528,21751,22038,23336,22673,21567
136.5899@7.182,136.5899,7.182,136.58987:6341 137.59322:235 138.59658:0,19774,19564,20035,20278,19147,19081
137.0626@1.481,137.0626,1.481,137.06258:77247 138.06593:6341 139.06929:5394,273905,272593,253125,273648,261638,260276
138.0544@4.848,138.0544,4.848,138.05443:187543 139.05778:17920 140.06114:4647,446594,421362,429177,469984,425389,436320
138.0657@3.994,138.0657,3.994,138.06566:11438 139.06901:1091 140.07237:2538,41987,41223,44613,37571,35639,34381
142.0856@1.165,142.0856,1.165,142.08562:16631 143.08897:1694 144.09233:896,64808,63206,59777,74808,66653,65342
143.1175@3.535,143.1175,3.535,143.11751:14945 144.12086:2630 145.12422:355,27427,27274,29568,44860,44222,42335
144.0809@3.417,144.0809,3.417,144.08086:2383917 145.08421:332493 146.08757:15896,7613972,7310976,7203804,8111286,8041432,7740376
144.0809@0.888,144.0809,0.888,144.08087:6530 145.08422:959 146.08758:961,20760,20461,19892,12829,16676,18394
144.102@5.062,144.102,5.062,144.10196:4973 145.10531:615 146.10867:0,12804,15960,16339,18801,14269,14944
145.0969@4.185,145.0969,4.185,145.09691:24116 146.10026:2107 147.10362:1763,72168,79800,82898,42760,51449,58887
146.1175@4.27,146.1175,4.27,146.11752:412087 147.12087:37687 148.12423:2601,945341,936854,888657,956011,1090568,905012
147.076@6.212,147.076,6.212,147.07599:215498 148.07934:18364 149.0827:3786,633087,600859,595963,651905,635830,568578
148.0342@4.966,148.0342,4.966,148.03424:38213 149.03759:2160 150.04095:0,80728,83174,75299,69998,68746,66590
148.0344@5.333,148.0344,5.333,148.03445:280200 149.0378:12071 150.04116:1407,599301,83376,17111,37877,483963,831494
149.0737@1.229,149.0737,1.229,149.07372:56963 150.07707:4560 151.08043:4687,226437,173446,193023,263439,188710,161653
151.0422@1.575,151.0422,1.575,151.04221:124505 152.04556:8435 153.04892:5236,461084,459754,424516,489323,508954,530372
152.0682@5.185,152.0682,5.185,152.06824:3139 153.07159:695 154.07495:0,9613,9620,7301,8666,9477,10442
153.0381@1.574,153.0381,1.574,153.03812:5044 154.04147:923 155.04483:374,24255,19554,19415,20623,23948,21566
154.0583@5.615,154.0583,5.615,154.05835:10019 155.0617:840 156.06506:250,11259,9143,8383,8330,8513,27008
154.0605@0.801,154.0605,0.801,154.06049:3443 155.06384:1871 156.0672:744,6338,5325,5430,7089,6268,6916
154.0969@4.182,154.0969,4.182,154.09695:48413 155.1003:6488 156.10366:430,110789,106887,101501,128349,119741,118537
156.0765@7.419,156.0765,7.419,156.07651:140958 157.07986:10740 158.08322:1131,794982,700606,865856,1213047,888576,649836
156.0768@1.534,156.0768,1.534,156.07683:1233466 157.08018:89579 158.08354:8381,5186772,5122293,5039573,5622170,5741635,5616807
157.0597@6.463,157.0597,6.463,157.05974:7300 158.06309:430 159.06645:320,42085,44889,16356,40372,26255,45855
157.0604@6.113,157.0604,6.113,157.06044:7809 158.06379:427 159.06715:0,30765,27921,28280,18224,27331,27093
157.0966@0.948,157.0966,0.948,157.09656:5621 158.09991:866 159.10327:0,11182,14326,12274,5810,10593,11339
158.9636@5.391,158.9636,5.391,158.96365:51578 159.967:982 160.97036:385,124394,193,184,89,1272,273653
158.9637@5.157,158.9637,5.157,158.96367:18968 159.96702:534 160.97038:0,21634,79932,11609,4888,18819,53943
158.9638@5.312,158.9638,5.312,158.96381:69137 159.96716:1546 160.97052:389,92069,1307,80,74,113038,284385
159.1124@3.812,159.1124,3.812,159.11244:44831 160.11579:4933 161.11915:1012,123851,123924,133325,74978,115388,114747
159.113@4.548,159.113,4.548,159.11299:3692 160.11634:753 161.1197:507,12210,12584,14850,8605,11550,11668
160.0962@1.163,160.0962,1.163,160.09622:111390 161.09957:11267 162.10293:1562,414251,386642,378655,471608,432429,431443
160.0968@4.115,160.0968,4.115,160.09683:21936 161.10018:3484 162.10354:613,69885,68268,65528,65179,64812,58979
160.1074@4.181,160.1074,4.181,160.10742:28256 161.11077:4132 162.11413:629,72019,66767,66090,72940,66753,67742
160.1326@4.023,160.1326,4.023,160.13255:60353 161.1359:7758 162.13926:559,131215,115569,114050,162341,149444,143170
161.1081@3.417,161.1081,3.417,161.10811:2963032 162.11146:471780 163.11482:20663,9923239,9702877,9535425,10425997,10533993,10173689
162.0496@4.585,162.0496,4.585,162.04962:6207 163.05297:548 164.05633:0,18324,17134,15076,18676,15968,17001
162.0498@4.902,162.0498,4.902,162.04976:5880 163.05311:594 164.05647:0,12198,14050,12354,10281,13081,12066
165.0576@1.449,165.0576,1.449,165.05759:4864 166.06094:0 167.0643:718,13841,12991,12016,15816,17690,17303
167.0448@1.86,167.0448,1.86,167.04485:18960 168.0482:1505 169.05156:331,191452,157999,143662,177920,52625,156737
167.0803@4.468,167.0803,4.468,167.08031:7174 168.08366:765 169.08702:480,15780,14279,14742,18570,16472,16486
168.1013@0.775,168.1013,0.775,168.1013:13827 169.10465:2543 170.10801:423,33237,31460,36285,31773,41420,31828
169.0574@6.213,169.0574,6.213,169.0574:3902 170.06075:430 171.06411:207,10489,10319,11015,11021,10529,10881
170.0554@1.261,170.0554,1.261,170.05544:23438 171.05879:2078 172.06215:358,49340,46212,44259,87781,80700,71537
170.0745@2.39,170.0745,2.39,170.07454:8191 171.07789:2194 172.08125:1356,41867,44869,46320,50513,41579,45958
171.148@3.128,171.148,3.128,171.14801:3168 172.15136:483 173.15472:0,11987,10985,11164,12959,11552,10788
173.0249@1.577,173.0249,1.577,173.02492:4173 174.02827:339 175.03163:363,12650,11918,12491,14994,16858,15732
173.0375@1.96,173.0375,1.96,173.03751:11367 174.04086:651 175.04422:630,12999,9749,8117,63494,71138,65974
173.0665@3.934,173.0665,3.934,173.06645:27605 174.0698:2096 175.07316:862,106948,160040,121595,2538,1875,1929
173.0668@3.511,173.0668,3.511,173.06676:300956 174.07011:20699 175.07347:3967,2382911,2233158,2104586,13677,19115,14893
173.0669@3.353,173.0669,3.353,173.06686:165944 174.07021:13246 175.07357:2175,484720,435233,410807,19559,19287,17477
174.0498@5.18,174.0498,5.18,174.0498:15306 175.05315:816 176.05651:213,31908,39909,13282,13185,26085,38659
174.0501@5.316,174.0501,5.316,174.05009:9126 175.05344:817 176.0568:286,3474,3850,5162,22948,9147,6832
174.1123@3.922,174.1123,3.922,174.11232:8705 175.11567:1545 176.11903:0,17240,19771,20530,19120,20311,20205
176.0548@2.813,176.0548,2.813,176.05481:8888 177.05816:458 178.06152:204,38198,33206,34535,32361,33692,31561
176.065@4.672,176.065,4.672,176.06502:13824 177.06837:847 178.07173:0,46257,47473,48143,51117,48673,46084
176.0912@5.404,176.0912,5.404,176.0912:15267 177.09455:1759 178.09791:475,15503,37768,39667,31571,25755,8773
176.139@4.623,176.139,4.623,176.13904:4832 177.14239:2523 178.14575:398,9114,10604,11116,9867,10148,10553
177.0862@3.74,177.0862,3.74,177.08623:9326 178.08958:869 179.09294:363,30933,27200,28500,33671,32068,33942
177.102@3.835,177.102,3.835,177.10201:30019 178.10536:4993 179.10872:726,56964,57865,52916,59343,67125,61529
177.1022@3.99,177.1022,3.99,177.1022:130180 178.10555:16978 179.10891:947,326124,333878,309998,331280,372390,359639
178.0238@4.575,178.0238,4.575,178.02383:7690 179.02718:0 180.03054:813,21714,20402,20584,20385,20505,23359
178.053@0.807,178.053,0.807,178.05299:7550 179.05634:1209 180.0597:619,17945,19192,24528,11406,13033,13908
180.1012@4.274,180.1012,4.274,180.10123:67173 181.10458:8862 182.10794:592,162888,150936,149264,183155,175763,161350
180.1016@2.371,180.1016,2.371,180.10162:10052 181.10497:2493 182.10833:1042,42826,45980,47685,29508,31204,32846
184.0937@4.916,184.0937,4.916,184.0937:8477 185.09705:1576 186.10041:0,17477,17871,17999,22232,18417,18290
184.096@0.892,184.096,0.892,184.09604:8297 185.09939:698 186.10275:1700,28725,24321,26076,27707,28983,27738
185.1067@6.759,185.1067,6.759,185.1067:13360 186.11005:6193 187.11341:1239,66656,5190,6372,5884,6474,483
185.1645@3.005,185.1645,3.005,185.16449:5806 186.16784:777 187.1712:0,21562,19003,16659,19038,18445,17580
186.0693@0.855,186.0693,0.855,186.06927:26653 187.07262:3048 188.07598:2346,72985,77610,74952,77712,80784,72653
186.0701@0.927,186.0701,0.927,186.07007:13880 187.07342:1319 188.07678:10535,42602,44426,37219,38354,44613,41966
186.1145@4.451,186.1145,4.451,186.1145:5350 187.11785:533 188.12121:0,40972,6034,8492,5676,4493,3881
186.1145@7.503,186.1145,7.503,186.11452:10907 187.11787:1489 188.12123:439,46046,5957,12553,10919,17904,6406
186.1235@4.704,186.1235,4.704,186.12347:5262 187.12682:834 188.13018:0,14829,11112,11991,12477,13835,13259
188.0659@2.779,188.0659,2.779,188.06589:5473 189.06924:0 190.0726:1570,16593,18411,20885,828,835,816
188.1272@3.716,188.1272,3.716,188.1272:3943 189.13055:730 190.13391:464,14718,14616,13384,14786,14402,15433
188.1276@0.897,188.1276,0.897,188.12755:50714 189.1309:7516 190.13426:1059,96742,108941,107636,134343,117224,123807
188.1389@7.017,188.1389,7.017,188.13889:6752 189.14224:2073 190.1456:0,20809,23629,27238,16598,20135,18731
188.1752@6.904,188.1752,6.904,188.17519:52991 189.17854:6266 190.1819:465,75428,69373,99531,203160,91941,70563
188.1756@7.018,188.1756,7.018,188.17561:5320 189.17896:0 190.18232:11033,10956,9944,12383,21693,10521,5285
189.0778@0.792,189.0778,0.792,189.07784:4591 190.08119:33030 191.08455:3183,4971,4809,7837,6189,5137,5570
189.0859@5.958,189.0859,5.958,189.08586:3234 190.08921:0 191.09257:510,14161,14251,15013,14001,13520,12024
189.1226@4.692,189.1226,4.692,189.1226:7814 190.12595:774 191.12931:0,20657,22549,20820,19696,20445,21838
189.123@5.379,189.123,5.379,189.12296:11954 190.12631:1235 191.12967:0,11331,23983,29226,30851,22678,11557
190.0816@4.881,190.0816,4.881,190.08156:4566 191.08491:259 192.08827:284,98,186,91,13611,13116,13760
190.0862@0.804,190.0862,0.804,190.08618:52400 191.08953:8902 192.09289:1243,177289,182112,175790,158457,159662,147563
190.1064@3.664,190.1064,3.664,190.1064:8417 191.10975:1015 192.11311:454,21991,25640,23420,12111,19218,19736
190.1069@5.109,190.1069,5.109,190.10689:611005 191.11024:66165 192.1136:8917,1174884,960605,1267892,1551350,1223441,957718
190.1182@6.296,190.1182,6.296,190.11823:17444 191.12158:2429 192.12494:0,39156,38685,34364,44431,47444,44735
191.0767@5.32,191.0767,5.32,191.07671:19745 192.08006:1806 193.08342:506,4578,10012,12020,49775,18280,9726
191.1021@7.938,191.1021,7.938,191.1021:5517 192.10545:473 193.10881:0,21171,18348,19718,22112,23358,25306
192.0681@0.786,192.0681,0.786,192.06813:3057 193.07148:0 194.07484:591,6460,6754,7114,6644,5921,6455
193.0992@4.555,193.0992,4.555,193.09915:4539 194.1025:0 195.10586:0,10806,10029,11604,12449,12457,11812
194.0805@0.803,194.0805,0.803,194.08055:7121 195.0839:1123 196.08726:1415,14568,13842,13222,11772,11249,11052
194.0897@5.508,194.0897,5.508,194.08965:7596 195.093:1055 196.09636:0,19623,7906,7175,8189,11234,18706
195.0495@3.511,195.0495,3.511,195.0495:3139 196.05285:209 197.05621:0,11874,13125,12323,166,120,341
196.9605@6.787,196.9605,6.787,196.96046:8972 197.96381:0 198.96717:0,317,294,29.3830810546875,29.3830810546875,29.3830810546875,78175
198.0866@5.662,198.0866,5.662,198.08656:51870 199.08991:5484 200.09327:545,107685,109693,109253,134259,119486,69255
202.1069@1.268,202.1069,1.268,202.10693:4521 203.11028:555 204.11364:2441,18495,15839,16820,19666,17802,17746
202.1338@2.951,202.1338,2.951,202.13377:15615 203.13712:2182 204.14048:248,53199,57954,60017,35488,52937,57176
203.0816@0.954,203.0816,0.954,203.08157:8310 204.08492:1685 205.08828:612,24779,24953,23320,16135,22706,18279
203.1173@0.802,203.1173,0.802,203.11728:94793 204.12063:19972 205.12399:1857,160281,145016,168460,296357,217041,259861
203.1386@4.45,203.1386,4.45,203.13857:3319 204.14192:365 205.14528:0,9437,9751,8705,9515,8022,8787
203.1493@6.775,203.1493,6.775,203.14929:79752 204.15264:7156 205.156:617,150924,172316,225687,263117,229642,44748
204.1223@3.467,204.1223,3.467,204.1223:3318 205.12565:469 206.12901:656,9001,8695,8582,6384,8672,8175
205.0093@3.731,205.0093,3.731,205.00928:8172 206.01263:841 207.01599:577,21200,20039,21499,17803,17625,17163
205.0923@2.777,205.0923,2.777,205.09227:8031 206.09562:983 207.09898:0,25435,30817,31618,1002,1128,2014
206.0815@0.959,206.0815,0.959,206.08148:13259 207.08483:1908 208.08819:0,61229,66452,58819,87879,56059,53173
206.1519@6.817,206.1519,6.817,206.15187:9853 207.15522:837 208.15858:215,56560,50205,61198,64454,53364,43250
207.1128@0.787,207.1128,0.787,207.11281:7929 208.11616:1594 209.11952:1612,19626,23280,19962,21851,20324,22843
207.1333@5.335,207.1333,5.335,207.1333:4086 208.13665:1114 209.14001:0,3991,7405,10726,8601,3652,2364
207.1334@4.943,207.1334,4.943,207.13342:7012 208.13677:1392 209.14013:342,17066,16698,17139,13296,14307,14907
208.0635@1.385,208.0635,1.385,208.06348:13693 209.06683:938 210.07019:1476,83232,71875,68930,65057,70847,62682
208.0637@0.947,208.0637,0.947,208.06371:17134 209.06706:2137 210.07042:640,38134,38258,36614,30344,31884,32794
208.105@5.128,208.105,5.128,208.10497:19622 209.10832:2767 210.11168:397,33676,29200,35901,49616,36107,30011
208.105@5.22,208.105,5.22,208.10504:4990 209.10839:1087 210.11175:0,11871,9118,14794,13833,11527,9005
211.1049@5.757,211.1049,5.757,211.1049:26515 212.10825:2519 213.11161:635,68316,64308,65264,67522,65399,75553
212.0893@5.108,212.0893,5.108,212.08928:32486 213.09263:3028 214.09599:292,86702,80633,81040,80024,83784,80479
212.1381@4.73,212.1381,4.73,212.13806:17278 213.14141:2740 214.14477:545,48288,46363,44515,53138,50334,48733
213.0586@5.319,213.0586,5.319,213.05862:9572 214.06197:1133 215.06533:0,4551,4321,5601,23987,17127,13636
214.1539@4.53,214.1539,4.53,214.15387:4050 215.15722:0 216.16058:2017,10345,10299,9296,11257,9600,9412
215.0932@4.839,215.0932,4.839,215.0932:3859 216.09655:668 217.09991:488,10233,10612,9687,11852,11364,8593
215.6722@8.097,215.6722,8.097,215.67221:3863 216.67556:0 217.67892:0,22693,11177,23225,18764,9402,21860
216.0214@4.967,216.0214,4.967,216.02142:12992 217.02477:1400 218.02813:0,26759,27234,26336,22382,22517,21210
216.0219@5.331,216.0219,5.331,216.02191:51659 217.02526:3421 218.02862:265,82626,4508,109,545,56542,159897
216.0798@1.218,216.0798,1.218,216.0798:6453 217.08315:695 218.08651:684,30792,26818,27519,30150,31092,26367
217.0636@2.725,217.0636,2.725,217.06363:7024 218.06698:1150 219.07034:0,24848,26350,22815,30308,25019,26029
217.1335@2.9,217.1335,2.9,217.13353:6863 218.13688:1322 219.14024:467,24670,21418,21352,25289,24582,22941
218.0409@0.825,218.0409,0.825,218.04092:9384 219.04427:1189 220.04763:1371,10577,17389,18045,6731,12986,13736
218.1246@6.047,218.1246,6.047,218.12459:12426 219.12794:3753 220.1313:293,30038,29476,29042,28113,28822,29352
219.112@3.11,219.112,3.11,219.11203:4842 220.11538:1108 221.11874:0,17004,15170,14763,10003,9358,9917
220.0691@5.659,220.0691,5.659,220.06906:4759 221.07241:701 222.07577:0,8292,8223,7795,8372,8370,11177
220.0994@0.93,220.0994,0.93,220.09937:18633 221.10272:3125 222.10608:7657,48350,39630,48001,52841,57968,58960
221.0765@7.208,221.0765,7.208,221.07649:5444 222.07984:441 223.0832:0,19470,17540,17967,17845,19321,17554
222.1117@0.915,222.1117,0.915,222.11174:16821 223.11509:3599 224.11845:1116,46400,38326,40705,50486,47378,40383
222.1206@5.34,222.1206,5.34,222.12057:13454 223.12392:2470 224.12728:707,2354,18978,14631,29018,2794,2041
225.0989@0.804,225.0989,0.804,225.09888:9307 226.10223:3432 227.10559:1446,13347,10999,11160,17707,16593,14961
225.123@2.604,225.123,2.604,225.12303:8229 226.12638:1633 227.12974:1086,68034,61852,57863,64273,47317,56252
226.951@5.241,226.951,5.241,226.95103:18214 227.95438:840 228.95774:278,13980,86877,78,2222,9371,42826
226.9511@5.308,226.9511,5.308,226.95114:80412 227.95449:2359 228.95785:1010,114980,198,8.18820877075195,585,115623,332343
226.9513@5.391,226.9513,5.391,226.95128:64117 227.95463:2893 228.95799:756,123344,8.40013656616211,8.40013656616211,8.40013656616211,597,318974
226.9514@5.157,226.9514,5.157,226.95142:21895 227.95477:934 228.95813:338,24422,85173,7953,2026,18262,51476
228.1704@4.301,228.1704,4.301,228.17041:4393 229.17376:1200 230.17712:1077,10879,9245,10382,10562,9789,10844
229.117@6.035,229.117,6.035,229.11696:5306 230.12031:1460 231.12367:393,16795,5147,6639,26840,14663,17839
230.0598@1.788,230.0598,1.788,230.05977:4654 231.06312:495 232.06648:394,24086,24545,21588,22773,23385,21328
230.185@4.523,230.185,4.523,230.185:10431 231.18835:1475 232.19171:232,23479,19371,21296,29169,22997,22362
230.6296@7.14,230.6296,7.14,230.62956:4079 231.63291:375 232.63627:0,16261,13627,14017,11101,15351,18929
232.1434@3.734,232.1434,3.734,232.14337:3470 233.14672:889 234.15008:0,5920,5226,5338,8319,7459,6544
233.1318@0.958,233.1318,0.958,233.13179:5484 234.13514:1084 235.1385:642,20162,15669,17669,11540,9937,11503
234.0713@5.106,234.0713,5.106,234.07126:48052 235.07461:5011 236.07797:765,110480,126178,80753,58335,92459,119715
234.1204@4.719,234.1204,4.719,234.12038:9248 235.12373:5034 236.12709:542,24284,24292,22502,27456,22947,23731
234.1263@4.504,234.1263,4.504,234.1263:4568 235.12965:7738 236.13301:1705,4252,2630,3526,11545,4482,2243
234.1335@1.422,234.1335,1.422,234.1335:68885 235.13685:9114 236.14021:1314,309301,286494,282164,255019,222849,241105
235.0408@5.317,235.0408,5.317,235.04082:3475 236.04417:447 237.04753:0,2213,907,592,2040,8457,7884
235.1646@4.629,235.1646,4.629,235.16463:148079 236.16798:22447 237.17134:2870,313753,298378,291936,332434,309087,298754
235.1648@4.566,235.1648,4.566,235.16483:24467 236.16818:3098 237.17154:775,55533,54202,53896,52504,54541,54539
236.0937@1.085,236.0937,1.085,236.09373:7112 237.09708:662 238.10044:846,25458,22613,24378,33328,23984,24903
236.1375@7.222,236.1375,7.222,236.13748:9559 237.14083:344 238.14419:220,30285,24431,22346,30965,31307,32458
238.0743@1.301,238.0743,1.301,238.07428:5121 239.07763:624 240.08099:413,19040,18975,19387,15423,18080,17569
239.1126@5.773,239.1126,5.773,239.11258:4173 240.11593:380 241.11929:0,10169,10563,11198,10994,10807,9376
239.6242@7.448,239.6242,7.448,239.62418:13860 240.62753:658 241.63089:0,73808,87391,69143,32441,57656,46336
241.1541@5.064,241.1541,5.064,241.15413:4681 242.15748:1195 243.16084:0,18334,16005,13938,20121,18795,14389
242.0377@5.18,242.0377,5.18,242.0377:5641 243.04105:543 244.04441:237,9052,15211,2267,1946,7442,12932
242.0813@0.933,242.0813,0.933,242.0813:4626 243.08465:953 244.08801:997,8011,6928,7316,11001,8568,8082
243.1341@5.383,243.1341,5.383,243.13405:14272 244.1374:1777 245.14076:496,36477,28921,26260,30292,33432,35855
245.1483@1.772,245.1483,1.772,245.14828:20981 246.15163:2376 247.15499:2373,113821,110504,106250,117371,106961,109985
246.0208@0.773,246.0208,0.773,246.02077:9407 247.02412:1738 248.02748:1395,21522,20306,16032,14926,20775,15772
246.0366@4.069,246.0366,4.069,246.03656:18233 247.03991:1594 248.04327:1531,57933,56904,56638,58303,59829,57592
246.1161@0.983,246.1161,0.983,246.11606:19659 247.11941:3350 248.12277:1407,92414,95010,89357,77205,75204,78492
247.0291@4.543,247.0291,4.543,247.02905:8495 248.0324:877 249.03576:2339,18753,21381,17738,14895,17347,20174
247.0591@4.697,247.0591,4.697,247.05905:3442 248.0624:287 249.06576:358,6654,7960,7558,6857,7182,6991
247.1441@0.81,247.1441,0.81,247.14409:4561 248.14744:1166 249.1508:875,9878,9223,9195,12042,10231,9971
248.1478@1.318,248.1478,1.318,248.14781:7152 249.15116:1257 250.15452:0,34762,31381,31802,34779,33280,34239
249.1444@6.997,249.1444,6.997,249.14435:9115 250.1477:738 251.15106:597,27271,25788,26158,36762,30239,26199
250.0947@4.719,250.0947,4.719,250.09467:3458 251.09802:677 252.10138:0,8247,7996,6958,8151,7676,7936
250.1529@6.776,250.1529,6.776,250.15291:5932 251.15626:669 252.15962:296,20042,21160,12707,21826,16328,11052
252.1097@4.512,252.1097,4.512,252.10966:7010 253.11301:1615 254.11637:1361,13997,10968,11809,15829,12339,12554
252.1447@2.762,252.1447,2.762,252.14467:4783 253.14802:1377 254.15138:445,26760,24135,22042,26122,23291,20125
254.1497@4.323,254.1497,4.323,254.14972:14959 255.15307:2582 256.15643:856,32137,31176,29897,34399,28960,36260
255.0972@5.216,255.0972,5.216,255.09718:20244 256.10053:3690 257.10389:653,50541,54479,27719,33993,45356,51165
256.0532@5.104,256.0532,5.104,256.05316:19108 257.05651:2079 258.05987:228,42171,53025,26119,12131,32301,49631
256.115@1.42,256.115,1.42,256.11505:8138 257.1184:1430 258.12176:331,40779,33161,37849,33460,29662,30956
257.1465@4.639,257.1465,4.639,257.14648:196075 258.14983:22015 259.15319:2790,633742,617293,625078,647555,651037,639908
258.1079@3.578,258.1079,3.578,258.10788:8118 259.11123:1171 260.11459:481,35440,34352,32563,35655,36336,34311
258.1081@4.481,258.1081,4.481,258.10806:3220 259.11141:421 260.11477:0,9967,7473,9087,11282,11735,8700
258.1118@0.893,258.1118,0.893,258.11176:4289 259.11511:2334 260.11847:0,12550,11748,11332,11724,10931,10951
258.1447@6.259,258.1447,6.259,258.14471:293849 259.14806:39355 260.15142:5602,794501,767229,753048,757291,761529,719535
258.2784@1.843,258.2784,1.843,258.27841:4235 259.28176:765 260.28512:0,1566,24455,2097,985,1298,12361
259.0917@4.838,259.0917,4.838,259.09174:30446 260.09509:4091 261.09845:826,65831,62983,61436,70151,69129,64964
260.1707@7.38,260.1707,7.38,260.17065:3105 261.174:0 262.17736:476,10046,9475,9954,9065,10052,10394
262.0152@0.891,262.0152,0.891,262.0152:3729 263.01855:453 264.02191:461,16968,16392,13146,12347,17830,11612
262.0311@1.64,262.0311,1.64,262.0311:79440 263.03445:8921 264.03781:6409,356997,357575,369282,368037,385328,382328
262.1114@1.356,262.1114,1.356,262.11139:43612 263.11474:6468 264.1181:2964,162678,169586,162411,117003,143597,139686
