id,mz,rt,ms1_isotopes,hyuA_UA_1,hyuA_UA_2,hyuA_UA_3,WT_UA_1,WT_UA_2,WT_UA_3
601.3693@6.228,601.3693,6.228,601.36926:7170 602.37261:2849 603.37597:590,30567,36229,36455,20372,27590,25018
602.087@5.334,602.087,5.334,602.08698:11709 603.09033:2398 604.09369:715,12503,963,96.2641967773438,96.2641967773438,10459,28973
603.3334@6.651,603.3334,6.651,603.33337:9318 604.33672:2977 605.34008:637,36493,32639,32344,33142,34855,31304
604.3154@5.11,604.3154,5.11,604.31543:3872 605.31878:1441 606.32214:592,5295,3884,6375,9064,6121,3929
608.3384@5.066,608.3384,5.066,608.33844:7610 609.34179:3591 610.34515:672,18007,14835,20267,23399,19992,16116
610.1832@0.645,610.1832,0.645,610.18323:34819 611.18658:24875 612.18994:18431,11665,90736,40000,56268,10931,8676
610.2829@4.769,610.2829,4.769,610.2829:7627 611.28625:3185 612.28961:860,17884,22222,22115,16919,22424,19784
610.5757@1.387,610.5757,1.387,610.57574:4605 611.57909:1985 612.58245:617,70,26496,6.97422027587891,80,76,11411
611.2567@6.528,611.2567,6.528,611.25671:3654 612.26006:0 613.26342:0,12869,14704,13513,10163,11392,11667
612.2695@5.109,612.2695,5.109,612.26953:4973 613.27288:2087 614.27624:782,5219,3462,6623,10653,5540,3515
613.0159@5.335,613.0159,5.335,613.01593:7132 614.01928:1700 615.02264:0,1729,172.874597167969,172.874597167969,172.874597167969,2363,18506
614.275@5.181,614.275,5.181,614.27496:5610 615.27831:1865 616.28167:870,12563,9913,12698,15490,14473,11540
614.3109@6.21,614.3109,6.21,614.31091:18125 615.31426:6252 616.31762:1389,56828,51520,49342,60683,57707,52291
616.3057@5.579,616.3057,5.579,616.30566:81752 617.30901:26202 618.31237:5304,236261,249949,248112,204938,237429,187075
618.2968@4.599,618.2968,4.599,618.29681:6846 619.30016:2678 620.30352:932,16598,16481,16458,16678,16444,16605
619.3068@5.584,619.3068,5.584,619.30682:14967 620.31017:5753 621.31353:1317,45639,48567,49167,44413,46021,38710
620.4632@2.893,620.4632,2.893,620.4632:6557 621.46655:2951 622.46991:553,20729,20020,17633,19266,18931,15661
622.3184@4.894,622.3184,4.894,622.31836:5820 623.32171:1843 624.32507:790,16337,14596,15080,15172,15082,14718
623.9437@5.33,623.9437,5.33,623.94366:3253 624.94701:248 625.95037:0,644,64.3919494628906,64.3919494628906,64.3919494628906,837,11068
624.3336@5.353,624.3336,5.353,624.33362:5289 625.33697:1365 626.34033:311,6671,15037,18251,16433,9793,4480
624.3356@5.726,624.3356,5.726,624.33557:3972 625.33892:1867 626.34228:445,21069,19702,22290,18949,18018,15642
625.3641@6.823,625.3641,6.823,625.36414:5687 626.36749:2024 627.37085:298,1752,2179,9028,20494,5262,1110
627.4066@4.562,627.4066,4.562,627.40662:3521 628.40997:2014 629.41333:0,948,8513,11653,125,1464,2774
628.3287@4.932,628.3287,4.932,628.32874:31155 629.33209:12508 630.33545:3211,69224,66887,65635,62861,62216,63375
631.3061@3.98,631.3061,3.98,631.30609:5045 632.30944:1847 633.3128:0,10504,8197,8552,14243,11956,12289
632.2794@5.577,632.2794,5.577,632.27936:3724 633.28271:1092 634.28607:0,8331,11093,10255,9815,10483,2561
632.3234@7.752,632.3234,7.752,632.32336:21731 633.32671:18108 634.33007:6448,83503,77458,72284,70401,79540,72397
634.25@5.107,634.25,5.107,634.25:4774 635.25335:1922 636.25671:573,6759,4415,7928,10110,7648,5456
635.3178@3.425,635.3178,3.425,635.31775:12153 636.3211:5445 637.32446:889,29306,28636,28839,31251,33262,28164
636.2598@5.182,636.2598,5.182,636.25983:4884 637.26318:1644 638.26654:0,11548,10545,7536,9277,12972,11120
636.59@1.376,636.59,1.376,636.58997:3629 637.59332:1986 638.59668:8113,86,18430,6.67324066162109,6.67324066162109,75,11374
637.2802@6.271,637.2802,6.271,637.28021:19744 638.28356:8342 639.28692:1761,48088,55480,58412,39480,52817,52187
638.2873@5.58,638.2873,5.58,638.28735:14023 639.2907:4887 640.29406:1158,14985,6298,6573,5189,6557,43940
638.606@1.376,638.606,1.376,638.60602:7815 639.60937:3608 640.61273:1570,145,44628,75,85,7.54426574707031,17162
639.1951@5.422,639.1951,5.422,639.19507:3807 640.19842:1534 641.20178:335,7495,88,8.77600173950195,265,1320,10966
640.2946@5.83,640.2946,5.83,640.29462:17206 641.29797:5484 642.30133:1564,86905,94237,95691,70706,80242,82773
641.2876@6.645,641.2876,6.645,641.2876:7968 642.29095:0 643.29431:0,26838,26119,23522,30410,27908,26529
641.2891@5.584,641.2891,5.584,641.28906:3840 642.29241:1954 643.29577:0,13170,10450,10691,10646,10726,11588
641.3062@8.066,641.3062,8.066,641.30621:10745 642.30956:4310 643.31292:1702,74816,66040,98824,35617,71523,57661
642.3084@6.616,642.3084,6.616,642.30835:221905 643.3117:75285 644.31506:15754,697164,758424,745245,502742,607288,601583
643.1558@5.174,643.1558,5.174,643.15582:3480 644.15917:813 645.16253:442,3774,14451,837,313,2182,12856
644.3337@7.318,644.3337,7.318,644.33368:5993 645.33703:2068 646.34039:1188,20992,18638,18230,21351,20217,18283
645.283@3.295,645.283,3.295,645.28296:4004 646.28631:1573 647.28967:0,12697,12421,12746,18419,15412,16692
646.3149@5.725,646.3149,5.725,646.31494:3157 647.31829:1706 648.32165:604,15461,15283,13800,10924,14950,12116
646.4774@2.86,646.4774,2.86,646.47736:7230 647.48071:2781 648.48407:5651,19952,20205,18225,23308,22440,17994
648.2134@5.337,648.2134,5.337,648.21338:6415 649.21673:1508 650.22009:298,12878,5944,412.91787109375,412.91787109375,14389,4129
648.4925@2.862,648.4925,2.862,648.49249:5534 649.49584:2178 650.4992:223,18457,17685,15266,19494,17999,14435
651.2946@5.547,651.2946,5.547,651.29456:5296 652.29791:1625 653.30127:723,18574,16785,18391,9052,15432,21450
654.3062@5.163,654.3062,5.163,654.30621:26608 655.30956:10210 656.31292:1969,49165,35580,56783,68103,51571,38357
654.3428@5.877,654.3428,5.877,654.34283:5479 655.34618:3962 656.34954:1784,29262,32411,37722,28845,52102,47003
654.6096@4.569,654.6096,4.569,654.60962:5466 655.61297:3254 656.61633:0,23933,22810,24047,25382,23400,23227
